:START_ID,reward,reward_usd,:END_ID,:TYPE
678659,702781624,408590.2188,ViaBTC,REWARDED
678660,656481079,381671.5312,F2Pool,REWARDED
678661,645708385,375408.4062,AntPool,REWARDED
678662,718963284,417998.0625,Poolin,REWARDED
678663,670959059,390088.875,F2Pool,REWARDED
678664,695392395,404294.1875,Poolin,REWARDED
678665,691350185,401944.0938,Unknown,REWARDED
678666,664082434,386090.875,AntPool,REWARDED
678667,691390392,401967.4688,SpiderPool,REWARDED
678668,666472243,387480.3125,Huobi,REWARDED
678669,663385603,385685.75,OKEX,REWARDED
678670,709947366,412756.3125,Unknown,REWARDED
678671,678475999,394459.1562,Unknown,REWARDED
678672,727926103,423208.9688,Binance,REWARDED
678673,717979399,417426.0312,Poolin,REWARDED
678674,680057130,395378.4062,OKEX,REWARDED
678675,643272345,373992.0938,F2Pool,REWARDED
678676,634061757,368637.1562,Binance,REWARDED
678677,635208137,369303.6562,BTC.com,REWARDED
678678,668779410,388821.6562,Unknown,REWARDED
678679,688103536,400056.5,AntPool,REWARDED
678680,649295302,377493.7812,AntPool,REWARDED
678681,652757830,379506.875,SlushPool,REWARDED
678682,643890320,374351.4062,BTC.TOP,REWARDED
678683,657298500,382146.7812,F2Pool,REWARDED
678684,694133620,403562.3438,OKEX,REWARDED
678685,715389113,427387.75,F2Pool,REWARDED
678686,709296498,423747.9062,ViaBTC,REWARDED
678687,666536214,398202.0625,ViaBTC,REWARDED
678688,716129643,427830.1562,F2Pool,REWARDED
678689,658368356,393322.4375,F2Pool,REWARDED
678690,656557270,392240.4375,Unknown,REWARDED
678691,666568967,398221.625,Binance,REWARDED
678692,658508910,393406.4062,Unknown,REWARDED
678693,669117011,399743.875,F2Pool,REWARDED
678694,646047577,385961.75,Poolin,REWARDED
678695,666538089,398203.1875,BTC.TOP,REWARDED
678696,724825108,433025.0312,AntPool,REWARDED
678697,707042924,422401.5938,OKKONG,REWARDED
678698,702011550,419395.75,SlushPool,REWARDED
678699,662668728,395891.5625,BTC.com,REWARDED
678700,670917098,400819.2812,F2Pool,REWARDED
678701,668389934,399309.5,BTC.com,REWARDED
678702,697225141,416536.25,F2Pool,REWARDED
678703,635450990,379631.125,EMCD,REWARDED
678704,665494510,397579.7188,Unknown,REWARDED
678705,711156587,424859.1562,Binance,REWARDED
678706,676145488,403942.8438,Huobi,REWARDED
678707,633533212,378485.4062,Unknown,REWARDED
678708,654467872,390992.1875,Poolin,REWARDED
678709,651607581,389283.4062,Poolin,REWARDED
678710,647066407,386570.4062,BTC.com,REWARDED
678711,630628706,376750.1875,Unknown,REWARDED
678712,635012921,379369.4062,Huobi,REWARDED
678713,640189425,382461.9688,BTC.com,REWARDED
678714,661871100,395415.0312,Binance,REWARDED
678715,634980630,379350.125,Poolin,REWARDED
678716,683845887,408543.2188,AntPool,REWARDED
678717,633328863,378363.3438,F2Pool,REWARDED
678718,645823423,385827.8438,Unknown,REWARDED
678719,698016329,417008.9062,Huobi,REWARDED
678720,692811574,413899.5,AntPool,REWARDED
678721,684054992,408668.125,F2Pool,REWARDED
678722,642020063,383555.625,Huobi,REWARDED
678723,706483443,422067.3438,ViaBTC,REWARDED
678724,680017965,406256.3438,F2Pool,REWARDED
678725,677954322,405023.4688,AntPool,REWARDED
678726,676427474,404111.3125,Huobi,REWARDED
678727,722221093,431469.3125,F2Pool,REWARDED
678728,692093205,413470.3125,ViaBTC,REWARDED
678729,701236033,418932.4375,Unknown,REWARDED
678730,655302646,391490.9062,Poolin,REWARDED
678731,690575973,412563.9062,Poolin,REWARDED
678732,673441594,402327.4688,TMSPOOL,REWARDED
678733,636292340,380133.7812,ViaBTC,REWARDED
678734,648360945,387343.7812,Unknown,REWARDED
678735,646103022,385994.875,AntPool,REWARDED
678736,639257001,381904.9062,BTC.TOP,REWARDED
678737,703564310,420323.375,Unknown,REWARDED
678738,674435346,402921.1562,SlushPool,REWARDED
678739,642111853,383610.4688,Binance,REWARDED
678740,634187782,378876.4688,F2Pool,REWARDED
678741,633253439,378318.2812,AntPool,REWARDED
678742,639847828,382257.875,BTC.TOP,REWARDED
678743,638457678,381427.375,AntPool,REWARDED
678744,641009373,382951.8125,Unknown,REWARDED
678745,633484476,378456.2812,F2Pool,REWARDED
678746,633015098,378175.875,ViaBTC,REWARDED
678747,666253628,398033.25,Unknown,REWARDED
678748,655037894,391332.75,AntPool,REWARDED
678749,638906219,381695.3438,Huobi,REWARDED
678750,647046634,386558.5938,BTC.com,REWARDED
678751,637143299,380642.1562,ViaBTC,REWARDED
678752,664035667,396708.1875,BTC.com,REWARDED
678753,631688029,377383.0625,ViaBTC,REWARDED
678754,661878934,395419.7188,Huobi,REWARDED
678755,713984626,426548.6875,F2Pool,REWARDED
678756,648125905,387203.375,F2Pool,REWARDED
678757,635266605,379520.9688,Poolin,REWARDED
678758,713447327,426227.6875,BTC.com,REWARDED
678759,707216656,422505.375,AntPool,REWARDED
678760,672365418,401684.5625,F2Pool,REWARDED
678761,667732987,398917.0312,Poolin,REWARDED
678762,713938314,426521.0312,Poolin,REWARDED
678763,679888589,406179.0312,BTC.com,REWARDED
678764,641173797,383050.0625,Unknown,REWARDED
678765,674544157,402986.1562,AntPool,REWARDED
678766,639248058,381899.5625,Binance,REWARDED
678767,649956922,388297.25,Huobi,REWARDED
678768,704186081,420694.8438,Poolin,REWARDED
678769,647865322,387047.6875,Poolin,REWARDED
678770,641483511,383235.0938,Poolin,REWARDED
678771,648205478,387250.9062,BTC.com,REWARDED
678772,705879369,421706.4375,Unknown,REWARDED
678773,641781211,383412.9375,AntPool,REWARDED
678774,717967770,428928.3125,Poolin,REWARDED
678775,714220277,426689.4688,AntPool,REWARDED
678776,691675880,413221,Poolin,REWARDED
678777,666560365,398216.5,Poolin,REWARDED
678778,653621001,390486.25,Binance,REWARDED
678779,640085381,382399.8125,AntPool,REWARDED
678780,708738641,423414.625,Poolin,REWARDED
678781,713348212,426168.5,F2Pool,REWARDED
678782,655279946,391477.3438,BTC.com,REWARDED
678783,678262832,405207.7812,AntPool,REWARDED
678784,722103469,431399.0625,Unknown,REWARDED
678785,706192546,421893.5625,Binance,REWARDED
678786,716075482,427797.8125,F2Pool,REWARDED
678787,701000384,418791.6562,Binance,REWARDED
678788,691208619,412941.8438,ViaBTC,REWARDED
678789,673306430,402246.7188,F2Pool,REWARDED
678790,625000000,373387.5,F2Pool,REWARDED
678791,654106885,390776.5312,Poolin,REWARDED
678792,651107182,388984.4375,Unknown,REWARDED
678793,639178074,381857.75,SlushPool,REWARDED
678794,683939383,408599.0625,Binance,REWARDED
678795,690122940,412293.25,F2Pool,REWARDED
678796,702156036,419482.0625,ViaBTC,REWARDED
678797,669096686,399731.75,Poolin,REWARDED
678798,649587307,388076.4375,F2Pool,REWARDED
678799,653170461,390217.0938,ViaBTC,REWARDED
678800,635075800,379407,Poolin,REWARDED
678801,681917259,407391,ViaBTC,REWARDED
678802,634888861,379295.3125,Poolin,REWARDED
678803,682208651,407565.0938,AntPool,REWARDED
678804,655249813,391459.3438,BTC.com,REWARDED
678805,705890036,421712.8125,F2Pool,REWARDED
678806,666005588,397885.0625,Binance,REWARDED
678807,666148625,397970.5,AntPool,REWARDED
678808,646081304,385981.9062,Binance,REWARDED
678809,679145509,405735.125,BTC.TOP,REWARDED
678810,668837977,399577.1875,AntPool,REWARDED
678811,655520481,391621.0312,Unknown,REWARDED
678812,651108181,388985.0625,OKEX,REWARDED
678813,653466707,390394.0938,Poolin,REWARDED
678814,644094971,384795.2188,ViaBTC,REWARDED
678815,657936015,393064.125,F2Pool,REWARDED
678816,655271713,391472.4375,F2Pool,REWARDED
678817,677931099,405009.5938,Unknown,REWARDED
678818,677823639,404945.4062,Huobi,REWARDED
678819,704990797,421175.5938,Huobi,REWARDED
678820,649261837,387882,Poolin,REWARDED
678821,705900777,421719.25,OKEX,REWARDED
678822,686218111,409960.4375,AntPool,REWARDED
678823,642218700,383674.2812,Binance,REWARDED
678824,639950876,382319.4375,F2Pool,REWARDED
678825,634137747,378846.5625,EMCD,REWARDED
678826,707979233,422960.9688,AntPool,REWARDED
678827,689266350,411781.5,Huobi,REWARDED
678828,653147682,390203.5,Huobi,REWARDED
678829,661806252,395376.2812,Poolin,REWARDED
678830,703575385,423186.5312,Unknown,REWARDED
678831,695769370,418491.375,ViaBTC,REWARDED
678832,710513395,427359.5938,Huobi,REWARDED
678833,654558304,393703.7188,Binance,REWARDED
678834,690021349,415034.0312,Poolin,REWARDED
678835,644225682,387488.875,BTC.TOP,REWARDED
678836,639112361,384413.3125,Huobi,REWARDED
678837,643838310,387255.875,F2Pool,REWARDED
678838,680820294,409499.7812,F2Pool,REWARDED
678839,658514417,396083.25,F2Pool,REWARDED
678840,660713414,397405.9062,Poolin,REWARDED
678841,672726769,404631.6875,Unknown,REWARDED
678842,665476348,400270.7188,SigmaPool,REWARDED
